"","road_fit_all","road_fit_all","road_fit_all","road_fit_all"
"150",44.9665465136166,43.2329845200937,47.5796869255521,51.9400583569935
"151",44.4120182700154,39.1779207864911,48.1737111057792,51.0732824804464
"152",44.4688949254596,40.3150872707345,45.566190412368,48.5399540167454
"153",36.0019162684596,36.9760702869823,25.0374422469754,38.6543905014716
"154",33.3706139496954,34.1263435085923,23.3676030157666,36.7904824484336
"155",34.3162519593753,35.0557373057588,18.6985755100122,37.4382300493833
"156",34.4953579918538,34.6769901245995,21.5976892307436,34.9673947597705
"157",34.9839523332061,32.51900058984,28.2412887885344,39.2912898091204
"158",37.4466056546497,34.6497383169388,49.1740719507993,39.1312094712548
"159",36.6275185432537,34.2228885764081,43.5088366791302,39.8008951744542
"160",35.5433150577012,32.9192414874787,36.0241124066298,36.5328990079753
"161",33.0074209255941,34.9199449789526,35.4654458072258,35.4211009238068
"162",35.7013030080523,32.8228750160986,43.2532069354332,32.2527096931061
"163",34.1418864040947,32.1268878114019,35.822527993174,34.9590299073777
"164",32.9227234546335,32.2450023788809,42.7103057703496,27.5500597703957
"165",33.6833565849387,34.8831251327132,40.5203713305831,35.7032631934191
"166",33.6689449911865,33.1288083882882,36.0135118256499,37.5624028998623
"167",35.7686239876709,35.8867979978718,36.0191392197626,35.6645922086733
"168",36.437213511378,35.353649023819,42.2001256272149,42.3304111624291
"169",40.3231666666667,39.5346666666667,43.1563333333333,46.1016666666667
"170",42.8396666666667,40.2781666666667,44.7453333333333,48.5191666666667
"171",43.5833333333333,42.463,46.0156666666667,49.1346666666667
"172",44.377,43.345,47.5011666666667,51.1281666666667
"173",44.213,44.236,48.63,51.8913333333333
"174",46.0625,44.349,48.5163333333333,52.4356666666667
"175",43.402,43.2126666666667,46.6028333333333,50.2223333333333
"176",46.395,40.6023333333333,47.7601666666667,49.5556666666667
"177",43.0461666666667,39.9143333333333,45.187,48.6091666666667
"178",41.7145,36.4586666666667,39.8183333333333,44.9363333333333
"179",39.2851666666667,34.4538333333333,22.9686666666667,34.1876666666667
"180",36.9428333333333,34.6925,13.9046666666667,35.4746666666667
"181",36.1371666666667,33.9123333333333,15.8771666666667,40.3873333333333
"182",37.8988333333333,33.0878333333333,33.2948333333333,43.4186666666667
"183",36.9296666666667,34.7565,37.8023333333333,40.1443333333333
"184",36.2718333333333,32.9065,17.8955,38.4803333333333
"185",36.5878333333333,31.648,23.6788333333333,37.7055
"186",35.1758333333333,35.3945,31.1163333333333,39.4336666666667
"187",35.0551666666667,35.9043333333333,31.7196666666667,38.6238333333333
"188",35.4276666666667,36.5955,26.3656666666667,38.045
"189",35.9951666666667,34.325,37.0698333333333,38.9638333333333
"190",36.0963333333333,33.4378333333333,33.9601666666667,36.5843333333333
"191",35.2491666666667,34.2165,28.8955,38.1296666666667
"192",36.8376666666667,35.042,40.85,41.713
"193",39.832,40.108,43.8168333333333,46.1915
"194",40.8863333333333,41.2693333333333,44.6623333333333,48.9831666666667
"195",42.9411666666667,41.9921666666667,45.4855,50.4936666666667
"196",42.9791666666667,41.4076666666667,47.7696666666667,51.2951666666667
"197",44.704,44.356,47.8635,51.9468333333333
"198",44.1313333333333,43.0921666666667,49.9816666666667,53.3221666666667
"199",45.1441666666667,38.9998333333333,47.1095,49.1103333333333
"200",44.9965,40.1691666666667,45.319,48.772
"201",31.0638333333333,37.813,17.912,37.4618333333333
"202",33.4445,34.368,26.807,38.4955
"203",35.3111666666667,34.0933333333333,29.9115,36.9566666666667
"204",31.264,33.368,35.2108333333333,38.9441666666667
"205",35.2348333333333,33.9095,40.6713333333333,40.1888333333333
"206",37.946,34.9958333333333,42.3808333333333,41.6753333333333
"207",36.2931666666667,33.284,40.179,40.2726666666667
"208",34.4568333333333,31.7256666666667,38.925,36.81
"209",34.2033333333333,34.7011666666667,41.6198333333333,35.3055
"210",33.7515,35.432,40.6141666666667,32.988
"211",34.7551666666667,36.5443333333333,30.4063333333333,34.0341666666667
"212",33.5926666666667,35.396,37.8041666666667,35.5241666666667
"213",35.1766666666667,35.4865,40.2968333333333,37.6385
"214",35.595,34.8681666666667,39.2028333333333,37.023
"215",35.7481666666667,35.579,39.7706666666667,36.2776666666667
"216",37.2483333333333,35.7963333333333,40.2795,41.5253333333333
"217",40.1931666666667,38.3675,42.5913333333333,46.1411666666667
"218",41.533,40.6181666666667,44.3646666666667,49.186
"219",41.8015,41.8866666666667,46.2398333333333,50.2785
"220",43.4796666666667,43.3998333333333,48.1416666666667,51.425
"221",43.8291666666667,42.1733333333333,47.6206666666667,52.2568333333333
"222",44.7875,43.5523333333333,48.2408333333333,50.912
"223",44.711,39.4081666666667,48.4535,49.7486666666667
"224",46.0758333333333,38.2443333333333,45.248,48.6718333333333
"225",36.9816666666667,39.2348333333333,20.054,27.8793333333333
"226",31.9415,34.2961666666667,20.6688333333333,35.3253333333333
"227",31.7528333333333,34.289,13.7791666666667,34.644
"228",31.4071666666667,34.0798333333333,12.8841666666667,35.0503333333333
"229",34.0658333333333,33.3946666666667,28.271,35.0181666666667
"230",36.5458333333333,34.7548333333333,41.3993333333333,40.3038333333333
"231",36.0041666666667,36.1321666666667,40.7706666666667,41.5496666666667
"232",34.5431666666667,34.0975,37.4933333333333,38.3041666666667
"233",30.7841666666667,34.0893333333333,38.1913333333333,33.3841666666667
"234",34.6248333333333,34.9416666666667,39.4801666666667,36.756
"235",35.5045,37.0148333333333,39.7216666666667,29.5035
"236",32.5598333333333,34.7126666666667,40.2263333333333,20.2165
"237",33.0523333333333,30.102,39.8626666666667,27.331
"238",32.994,33.7345,39.2965,36.59
"239",35.2286666666667,34.2328333333333,29.6461666666667,37.9546666666667
"240",35.4028333333333,35.5671666666667,39.9608333333333,40.7781666666667
"241",39.1343333333333,39.5859498911251,42.4621666666667,45.64
"242",41.2851968689718,40.2547895058959,44.5115,48.4567462338502
"243",42.3332711251803,42.5699129557566,45.6508333333333,49.4921215526244
"244",43.1654963329539,41.828440866327,47.7246627424892,51.141666828079
"245",43.9848351855712,44.2407935890961,47.605072648385,51.8124923612104
"246",44.4395747554807,43.0858283525277,48.352404090853,52.3542898731854
"247",44.6489271338552,38.9967976435583,47.0573522790605,49.4950222352527
"248",45.5687334256423,40.8739401267402,46.2018606321546,49.2674462543906
"249",35.7321201597302,38.1050413310326,31.080346374077,40.9279779282741
"250",34.3802867900625,34.9373054770567,29.8035085921795,40.2387743461287
"251",34.0147701480259,34.693932749379,23.1254143332345,34.0754938699842
"252",32.1316607576913,34.0515047971581,18.0079087959292,36.4308796753247
"253",34.8418954830393,34.5017067883914,25.3811772084951,38.8212718835374
"254",36.9794641086343,33.8772255963161,39.9203993154341,41.6527055700056
"255",36.1541843548695,34.2211245497321,39.5632464099447,39.7242106997791
